35509,34917,34685,34275,34292,34613,35120,34477,32874,33119,33801,34468,33883,35169,35097,35093,34906,34898,35035,34726,35314,34639,34947,34853,34706,35087,34900,34739,34807,34315,34607,34465
35508,34936,34700,34275,34303,34632,35133,34494,32903,33136,33813,34462,33922,35171,35126,35118,34929,34914,35046,34756,35215,34669,34970,34887,34724,35111,34927,34761,34830,34337,34627,34486
35500,34959,34706,34281,34314,34648,35152,34500,32927,33155,33824,34467,33955,35098,35148,35128,34950,34941,35056,34791,35013,34704,34988,34922,34750,35138,34951,34775,34854,34371,34648,34511
35484,34960,34713,34295,34324,34669,35171,34503,32968,33179,33842,34474,33988,34948,35177,35103,34966,34971,35068,34818,34862,34735,34989,34944,34786,35154,34971,34794,34880,34389,34685,34534
35479,34884,34723,34313,34338,34684,35179,34514,33013,33202,33870,34477,34019,34862,35200,34982,34988,34985,35099,34827,34800,34749,34892,34952,34820,35170,34990,34811,34898,34404,34706,34549
35476,34747,34730,34339,34344,34696,35173,34534,33051,33223,33890,34490,34054,34809,35229,34812,35015,34991,35123,34834,34787,34781,34726,34943,34855,35148,34992,34835,34924,34426,34729,34560
35479,34673,34745,34360,34354,34681,35110,34550,33081,33234,33920,34508,34085,34781,35246,34732,35037,34990,35147,34830,34796,34812,34610,34940,34882,35001,34954,34853,34955,34447,34751,34555
35487,34635,34756,34384,34369,34607,34988,34561,33098,33218,33936,34523,34100,34769,35210,34690,35065,34978,35168,34821,34830,34829,34554,34942,34905,34811,34802,34870,34978,34478,34777,34550
35508,34615,34760,34409,34376,34511,34870,34557,33099,33094,33951,34545,34108,34768,35051,34674,35092,34979,35196,34818,34871,34832,34524,34941,34935,34692,34633,34892,34996,34492,34808,34548
35528,34604,34740,34441,34392,34455,34783,34551,33093,32914,33966,34555,34111,34779,34878,34668,35098,34980,35219,34827,34915,34823,34522,34943,34957,34648,34553,34918,35004,34496,34809,34560
35547,34623,34670,34464,34394,34424,34748,34550,33083,32780,33978,34579,34115,34790,34803,34680,35084,34993,35240,34844,34955,34813,34543,34964,34977,34642,34527,34938,34963,34497,34752,34568
35567,34632,34587,34479,34394,34402,34750,34550,33084,32721,33988,34594,34114,34800,34765,34701,34980,35008,35276,34865,34995,34804,34569,34988,34991,34638,34505,34959,34807,34497,34604,34584
35588,34651,34540,34508,34388,34408,34758,34549,33094,32702,33995,34613,34120,34807,34753,34724,34810,35032,35300,34884,35043,34805,34589,35005,34986,34660,34523,34981,34620,34496,34466,34600
35618,34662,34505,34527,34386,34422,34776,34561,33104,32708,34010,34632,34136,34811,34767,34733,34706,35066,35322,34910,35080,34813,34603,35037,34979,34687,34543,35004,34544,34491,34393,34630
35648,34673,34494,34553,34386,34429,34803,34578,33128,32720,34015,34645,34146,34826,34780,34739,34662,35090,35335,34934,35107,34822,34612,35063,34988,34707,34566,34987,34494,34506,34358,34661
35668,34683,34491,34574,34393,34448,34834,34592,33150,32734,34018,34662,34171,34855,34811,34755,34640,35114,35346,34972,35110,34850,34631,35096,34993,34723,34589,34858,34495,34518,34350,34679
35689,34704,34490,34596,34403,34461,34867,34608,33181,32756,34023,34677,34187,34879,34829,34774,34634,35131,35298,34995,35106,34873,34655,35121,34997,34739,34610,34680,34504,34534,34357,34714
35711,34718,34500,34606,34408,34465,34899,34625,33208,32783,34035,34650,34201,34884,34838,34795,34646,35152,35138,35029,35106,34894,34679,35147,35020,34769,34630,34599,34525,34550,34377,34738
35711,34727,34512,34588,34434,34477,34926,34649,33233,32807,34043,34540,34215,34893,34856,34818,34670,35180,34948,35063,35089,34914,34709,35167,35042,34796,34646,34551,34543,34577,34391,34765
35629,34730,34516,34496,34454,34489,34941,34662,33258,32833,34025,34432,34226,34887,34873,34834,34691,35207,34860,35078,35090,34940,34720,35195,35075,34821,34675,34540,34575,34607,34419,34788
35449,34726,34533,34369,34469,34503,34947,34681,33276,32875,33888,34385,34231,34882,34901,34834,34702,35226,34826,35099,35098,34959,34719,35220,35098,34841,34698,34549,34595,34630,34435,34814
35355,34724,34540,34251,34481,34510,34941,34695,33295,32910,33686,34346,34240,34879,34920,34826,34707,35242,34812,35061,35102,34977,34711,35232,35130,34855,34709,34569,34609,34650,34450,34843
35309,34724,34552,34191,34502,34510,34940,34710,33312,32929,33556,34325,34255,34888,34941,34825,34724,35270,34826,34937,35131,35008,34704,35202,35148,34855,34708,34591,34631,34676,34470,34862
35293,34722,34566,34174,34516,34516,34939,34730,33341,32935,33505,34316,34265,34897,34948,34830,34751,35290,34846,34779,35158,35040,34720,35056,35181,34850,34702,34627,34656,34697,34498,34834
35295,34724,34580,34169,34527,34517,34936,34748,33361,32926,33501,34330,34264,34911,34947,34835,34779,35282,34869,34692,35190,35060,34723,34849,35195,34851,34696,34648,34686,34715,34533,34696
35303,34728,34588,34189,34540,34511,34939,34764,33373,32909,33523,34336,34276,34925,34937,34846,34803,35189,34890,34648,35209,35082,34744,34742,35217,34855,34701,34672,34713,34735,34542,34521
35322,34745,34587,34202,34559,34517,34956,34781,33381,32906,33556,34343,34282,34944,34933,34865,34816,34994,34901,34630,35241,35079,34757,34693,35238,34855,34709,34689,34715,34757,34542,34441
35352,34756,34581,34226,34574,34516,34967,34805,33317,32906,33600,34345,34288,34966,34932,34891,34817,34856,34918,34629,35274,35013,34784,34688,35251,34878,34722,34707,34725,34767,34537,34402
35371,34779,34576,34248,34592,34527,34992,34799,33129,32915,33651,34355,34295,34986,34946,34920,34815,34801,34943,34646,35294,34831,34808,34690,35270,34896,34743,34730,34718,34710,34532,34389
35385,34801,34577,34276,34613,34532,35018,34712,32955,32933,33701,34368,34286,35001,34957,34944,34810,34778,34970,34664,35306,34683,34834,34720,35283,34927,34770,34746,34709,34557,34539,34406
35405,34820,34585,34310,34614,34545,35035,34571,32855,32949,33744,34380,34185,35022,34985,34967,34815,34774,35014,34691,35298,34628,34864,34759,35302,34950,34790,34748,34721,34412,34544,34426
35432,34834,34591,34343,34575,34570,35051,34493,32821,32971,33787,34396,33982,35050,35008,34987,34822,34784,35031,34711,35165,34591,34894,34794,35292,34974,34815,34738,34730,34343,34550,34453
35454,34853,34596,34362,34464,34585,35062,34457,32826,33003,33819,34406,33861,35067,35034,35009,34832,34806,35044,34728,34952,34591,34912,34824,35168,34999,34844,34739,34742,34309,34564,34471
35468,34863,34608,34374,34377,34601,35077,34442,32838,33032,33847,34414,33818,35089,35064,35029,34849,34831,35052,34752,34829,34604,34931,34855,34950,35025,34864,34738,34759,34303,34584,34493
35481,34885,34626,34383,34330,34619,35095,34433,32870,33051,33855,34408,33813,35102,35090,35052,34880,34847,35048,34779,34795,34618,34962,34894,34785,35055,34887,34737,34795,34312,34600,34515
35476,34908,34638,34375,34307,34630,35111,34436,32911,33072,33850,34410,33827,35111,35116,35087,34908,34851,35042,34807,34782,34653,34982,34924,34734,35078,34913,34744,34829,34331,34628,34539
35467,34927,34648,34374,34293,34641,35123,34447,32946,33097,33849,34413,33868,35081,35149,35098,34929,34870,35046,34824,34788,34673,35009,34943,34724,35101,34934,34768,34854,34347,34658,34558
35454,34943,34663,34372,34299,34657,35133,34463,32977,33122,33846,34407,33909,34960,35176,35122,34958,34892,35051,34831,34817,34696,35013,34952,34732,35122,34955,34790,34886,34372,34682,34571
35455,34956,34684,34372,34311,34679,35149,34475,33014,33146,33842,34417,33954,34850,35206,35106,34983,34917,35061,34824,34851,34715,34970,34961,34752,35140,34977,34801,34910,34383,34706,34578
35457,34952,34698,34391,34334,34695,35169,34480,33056,33171,33847,34420,34003,34786,35218,35019,35000,34935,35081,34821,34892,34737,34812,34955,34798,35157,35000,34823,34929,34396,34721,34583
35456,34868,34718,34407,34350,34703,35163,34495,33097,33192,33858,34426,34041,34748,35216,34838,35022,34964,35107,34824,34935,34762,34644,34950,34840,35111,34993,34847,34949,34417,34750,34590
35479,34724,34744,34434,34359,34719,35114,34512,33119,33211,33877,34447,34084,34728,35115,34726,35041,34960,35138,34824,34959,34791,34567,34956,34870,34952,34890,34874,34975,34439,34769,34587
35498,34657,34774,34454,34370,34716,35007,34526,33123,33221,33898,34470,34114,34730,34928,34681,35065,34965,35174,34831,34999,34804,34522,34961,34890,34755,34708,34902,35003,34463,34775,34583
35518,34628,34799,34488,34381,34646,34882,34537,33119,33165,33911,34484,34135,34738,34822,34661,35096,34964,35203,34843,35025,34809,34529,34975,34924,34663,34582,34923,35025,34493,34762,34587
35541,34616,34819,34516,34392,34533,34782,34546,33110,33004,33936,34500,34143,34749,34775,34657,35113,34957,35226,34863,35049,34807,34534,34988,34961,34619,34516,34944,35041,34492,34646,34595
